Attack Name,Description
Tackle,Charges the foe with a full- body tackle.
Growl,Growls cutely to reduce the foe's ATTACK.
Leech Seed,Plants a seed on the foe to steal HP on every turn.
Vine Whip,"Strikes the foe with slender, whiplike vines."
Poisonpowder,Scatters a toxic powder that may poison the foe.
Sleep Powder,Scatters a powder that may cause the foe to sleep.
Razor Leaf,Cuts the enemy with leaves. High critical-hit ratio.
Sweet Scent,Allures the foe to reduce evasiveness.
Growth,Forces the body to grow and heightens SP. ATK.
Synthesis,Restores HP. The amount varies with the weather.
Solarbeam,"Absorbs light in one turn, then attacks next turn."
Toxic,Poisons the foe with an intensifying toxin.
Bullet Seed,Shoots 2 to 5 seeds in a row to strike the foe.
Hidden Power,The effectiveness varies with the user.
Sunny Day,Boosts the power of FIRE- type moves for 5 turns.
Protect,"Evades attack, but may fail if used in succession."
Giga Drain,An attack that steals half the damage inflicted.
Frustration,An attack that is stronger if the TRAINER is disliked.
Return,An attack that increases in power with friendship.
Double Team,Creates illusory copies to raise evasiveness.
Sludge Bomb,Sludge is hurled to inflict damage. May also poison.
Facade,"Boosts ATTACK when burned, paralyzed, or poisoned."
Secret Power,An attack with effects that vary by location.
Attract,Makes the opposite gender less likely to attack.
Strength,"Builds enormous power, then slams the foe."
Flash,Looses a powerful blast of light that cuts accuracy.
Rock Smash,A rock-crushing attack that may lower DEFENSE.
Horizontal Cut,Inflicts Damage in 3 Directions
Vacuum Cut,Inflicts 30 Damage to any PokÈmon in the same room
Roar,Makes the foe flee to end the battle.
Hyper Beam,"Powerful, but leaves the user immobile the next turn."
Earthquake,"A powerful quake, but has no effect on flying foes."
Focus Punch,A powerful loyalty attack. The user flinches if hit.
Dragon Claw,Slashes the foe with sharp claws.
Iron Tail,Attacks with a rock-hard tail. May lower DEFENSE.
Dig,Digs underground the first turn and strikes next turn.
Brick Break,Destroys barriers such as REFLECT and causes damage.
Flamethrower,A powerful fire attack that may inflict a burn.
Fire Blast,A fiery blast that scorches all. May cause a burn.
Aerial Ace,An extremely speedy and unavoidable attack.
Overheat,"Allows a full-power attack, but sharply lowers SP. ATK."
Steel Wing,Strikes the foe with hard wings spread wide.
Fly,"Flies up on the first turn, then strikes the next turn."
Water Pulse,Attacks with ultrasonic waves. May confuse the foe
Hail,Summons a hailstorm that strikes every turn.
Ice Beam,Blasts the foe with an icy beam that may freeze it.
Blizzard,Hits the foe with an icy storm that may freeze it.
Rain Dance,Boosts the power of WATER- type moves for 5 turns.
Surf,"Creates a huge wave, then crashes it down on the foe."
Waterfall,Charges the foe with speed to climb waterfalls.
Dive,Dives underwater the first turn and strikes next turn.
Frenzy Plant,"Powerful, but leaves the user immobile the next turn."
Scratch,Scratches the foe with sharp claws.
Ember,A weak fire attack that may inflict a burn.
Metal Claw,A claw attack that may raise the user's ATTACK.
Smokescreen,"Lowers the foe's accuracy using smoke, ink, etc."
Scary Face,Frightens with a scary face to sharply reduce SPEED.
Dragon Rage,Launches shock waves that always inflict 40 HP damage.
Fire Spin,Traps the foe in a ring of fire for 2 to 5 turns.
Heat Wave,Exhales a hot breath on the foe. May inflict a burn.
Wing Attack,Strikes the foe with wings spread wide.
Blast Burn,"Powerful, but leaves the user immobile the next turn."
Tail Whip,Wags the tail to lower the foe's DEFENSE.
Bubble,An attack using bubbles. May lower the foe's SPEED.
Withdraw,Withdraws the body into its hard shell to raise DEFENSE.
Water Gun,Squirts water to attack the foe.
Bite,Bites with vicious fangs. May cause flinching.
Rapid Spin,Spins the body at high speed to strike the foe.
Skull Bash,"Tucks in the head, then attacks on the next turn."
Hydro Pump,Blasts water at high power to strike the foe.
Hydro Cannon,"Powerful, but leaves the user immobile the next turn."
String Shot,Binds the foe with string to reduce its SPEED.
Harden,Stiffens the body's muscles to raise DEFENSE.
Confusion,A psychic attack that may cause confusion.
Stun Spore,Scatters a powder that may paralyze the foe.
Supersonic,Emits bizarre sound waves that may confuse the foe.
Whirlwind,Blows away the foe with wind and ends the battle.
Gust,Strikes the foe with a gust of wind whipped up by wings.
Psybeam,Fires a peculiar ray that may confuse the foe.
Safeguard,A mystical force prevents all status problems.
Silver Wind,A powdery attack that may raise abilities.
Psychic,A powerful psychic attack that may lower SP. DEF.
Shadow Ball,Hurls a black blob that may lower the foe's SP. DEF.
Thief,"While attacking, it may steal the foe's held item."
Skill Swap,The user swaps special abilities with the target.
Poison Sting,"A toxic attack with barbs, etc., that may poison."
Fury Attack,"Jabs the foe 2 to 5 times with sharp horns, etc."
Focus Energy,Focuses power to raise the critical-hit ratio.
Twineedle,Stingers on the forelegs jab the foe twice.
Pursuit,Inflicts bad damage if used on a foe switching out.
Pin Missile,Sharp pins are fired to strike 2 to 5 times.
Agility,Relaxes the body to sharply boost SPEED.
Endeavor,Gains power if the user's HP is lower than the foe's HP.
Sand-attack,Reduces the foe's accuracy by hurling sand in its face.
Quick Attack,An extremely fast attack that always strikes first.
Featherdance,Envelops the foe with down to sharply reduce ATTACK.
Mirror Move,Counters the foe's attack with the same move.
Hyper Fang,Attacks with sharp fangs. May cause flinching.
Super Fang,Attacks with sharp fangs and cuts half the foe's HP.
Taunt,Taunts the foe into only using attack moves.
Thunderbolt,A strong electrical attack that may paralyze the foe.
Shock Wave,A fast and unavoidable electric attack.
Peck,"Attacks the foe with a jabbing beak, etc."
Leer,Frightens the foe with a leer to lower DEFENSE.
Drill Peck,A corkscrewing attack with the beak acting as a drill.
Wrap,"Wraps and squeezes the foe 2 to 5 times with vines, etc."
Glare,Intimidates and frightens the foe into paralysis.
Screech,Emits a screech to sharply reduce the foe's DEFENSE.
Acid,Sprays a hide-melting acid. May lower DEFENSE.
Stockpile,Charges up power for up to 3 turns.
Swallow,Absorbs stockpiled power and restores HP.
Spit Up,Releases stockpiled power (the more the better).
Haze,Creates a black haze that eliminates all stat changes.
Torment,Torments the foe and stops successive use of a move.
Snatch,Steals the effects of the move the foe uses next.
Thundershock,An electrical attack that may paralyze the foe.
Thunder Wave,A weak jolt of electricity that paralyzes the foe.
Slam,"Slams the foe with a long tail, vine, etc."
Light Screen,Creates a wall of light that lowers SP. ATK damage.
Defense Curl,Curls up to conceal weak spots and raise DEFENSE.
Swift,Sprays star-shaped rays that never miss.
Fury Swipes,"Rakes the foe with sharp claws, etc., 2 to 5 times."
Sand Tomb,Traps and hurts the foe in quicksand for 2 to 5 turns.
Sandstorm,Causes a sandstorm that rages for several turns.
Rock Tomb,Stops the foe from moving with rocks and cuts SPEED.
Double Kick,A double-kicking attack that strikes the foe twice.
Helping Hand,Boosts the power of the recipient's moves.
Flatter,"Confuses the foe, but raises its SP. ATK."
Crunch,Crunches with sharp fangs. May lower SP. DEF.
Body Slam,A full-body slam that may cause paralysis.
Superpower,"Boosts strength sharply, but lowers abilities."
Horn Attack,Jabs the foe with sharp horns.
Horn Drill,A one-hit KO attack that uses a horn like a drill.
Thrash,A rampage of 2 to 3 turns that confuses the user.
Megahorn,A brutal ramming attack using out-thrust horns.
Pound,Pounds the foe with forelegs or tail.
Encore,Makes the foe repeat its last move over 2 to 6 turns.
Sing,A soothing song lulls the foe into a deep slumber.
Doubleslap,Repeatedly slaps the foe 2 to 5 times.
Follow Me,Draws attention to make foes attack only the user.
Minimize,Minimizes the user's size to raise evasiveness.
Metronome,Waggles a finger to use any POKÈMON move at random.
Cosmic Power,Raises DEFENSE and SP. DEF with a mystic power.
Moonlight,Restores HP. The amount varies with the weather.
Meteor Mash,Fires a meteor-like punch. May raise ATTACK.
Calm Mind,Raises SP. ATK and SP. DEF by focusing the mind.
Reflect,Creates a wall of light that weakens physical attacks.
Will-o-wisp,Inflicts a burn on the foe with intense fire.
Confuse Ray,A sinister ray that confuses the foe.
Imprison,Prevents foes from using moves known by the user.
Grudge,"If the user faints, deletes the PP of the final move."
Disable,Psychically disables one of the foe's moves.
Rollout,An attack lasting 5 turns with rising intensity.
Mimic,Copies a move used by the foe during one battle.
Hyper Voice,A loud attack that uses sound waves to injure.
Double-edge,A life-risking tackle that also hurts the user.
Leech Life,An attack that steals half the damage inflicted.
Astonish,An attack that may shock the foe into flinching.
Air Cutter,Hacks with razorlike wind. High critical-hit ratio.
Mean Look,Fixes the foe with a mean look that prevents escape.
Poison Fang,A sharp-fanged attack. May badly poison the foe.
