Unnamed: 0,id,number,name,japanese_name,type1,type2,joined,favorite,classification,weight_kg,weight_lbs,height_m,height_ft,md_ability,md_evolution_chain,md_body_size,md_friend_area,md_get_rate,md_location,rg_browser_no,rg_location,rg_pkmn_assist,rg_type_group,rg_field_ability,tz_get_rate,tz_location,evo1,evo1how,evo2,evo2how,evo3,md_base_exp,md_base_stats,md_gummies,md_levelup_stats,md_recruit_min_level,md_location_big,md_quotes
0,id_1,#001,Bulbasaur,Fushigidaneフシギダネ,grass,poison,True,False,Seed Pokémon,6.9 kg,15.2 lbs,0.7 m,2'04,Overgrow,001 --> Lv. 16 --> 002 --> Lv. 32 --> 003,*,Beau Plains,12.5 %,"Starter / Partner Pokémon, Joyous Tower 1F-5F",R-001,Lila Forest (requires Cut),Grass,Cross,Grass,Normal,Phobos Train Endless Level 16 Trozei Battle Mr. Who's Den,Bulbasaur,Lv. 16,Ivysaur,Lv. 32,Venusaur,18,2/1/2/0,"Grass (9), Pink (11)","[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 20, 2, 1, 2, 0, 0], [10, 42, 20, 19, 20, 18, 1390], [20, 67, 40, 34, 40, 33, 40990], [30, 97, 50, 44, 50, 43, 122190], [40, 115, 57, 51, 56, 49, 385190], [50, 125, 62, 56, 61, 54, 685190], [60, 135, 70, 63, 63, 56, 1285190], [70, 145, 73, 63, 70, 56, 1885190], [80, 155, 80, 63, 73, 56, 2485190], [90, 165, 83, 63, 80, 56, 3085190], [100, 175, 90, 63, 90, 56, 3685190]]",[L 1/L 1],Recruit at:   L 1 in Joyous Tower (Floors  1- 5)---This Pokemon is only fought in Lv1 Dungeons.---Bulbasaur is one of the 16 possible Starter Pokemon and one of the 10---possible starting Partners.---,"Normal:   I'm going to make a big flower bloom!---50% HP:   I'm down to about half my HP now.---25% HP:   I'm about to keel over...---Lvl Up:   I did it! My level went up!---Partner Quotes---Normal:   Let's try to do our best, &lt;name&gt;!---50% HP:   This is getting a bit hard...---25% HP:   Urgh... Can't keep this up... &lt;name&gt;, help...---Lvl Up:   Yes! I leveled up!---"
1,id_2,#002,Ivysaur,Fushigisouフシギソウ,grass,poison,False,False,Seed Pokémon,13.0 kg,28.7 lbs,1.0 m,3'03,Overgrow,001 --> Lv. 16 --> 002 --> Lv. 32 --> 003,*,Beau Plains,-19 %,Western Cave 19F-27F,R-002,Lila Forest,Grass,Cross,Grass,Rare,Secret Storage 2 Mr. Who's Den,Bulbasaur,Lv. 16,Ivysaur,Lv. 32,Venusaur,40,14/9/12/10,"Grass (9), Pink (11)","[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 46, 14, 9, 12, 10, 0], [10, 68, 32, 23, 30, 24, 1390], [20, 95, 48, 33, 46, 34, 40990], [30, 125, 58, 43, 56, 44, 122190], [40, 135, 58, 43, 56, 44, 422190], [50, 145, 59, 44, 56, 44, 722190], [60, 155, 68, 53, 57, 44, 1122190], [70, 165, 69, 53, 67, 44, 1522190], [80, 176, 80, 53, 78, 44, 1922190], [90, 196, 100, 53, 98, 44, 2322190], [100, 216, 120, 53, 118, 44, 2722190]]",[L90/L50],Evolves From: Bulbasaur at L16---Recruit at:   L30 in Western Cave (Floors 19-27)---,"Normal:   My big flower is ready to bloom!---50% HP:   My HP is down to half.---25% HP:   I'm ready to keel over...---Lvl Up:   My level went up! The bud is getting bigger, too!---"
2,id_3,#003,Venusaur,Fushigibanaフシギバナ,grass,poison,False,False,Seed Pokémon,100.0 kg,220.5 lbs,2.0 m,6'07,Overgrow,001 --> Lv. 16 --> 002 --> Lv. 32 --> 003,*,Beau Plains,-,Evolve Ivysaur,R-003,Lila Forest (requires Cut),Grass,None,Grass,Rare,Secret Storage 3 Trozei Battle Mr. Who's Den,Bulbasaur,Lv. 16,Ivysaur,Lv. 32,Venusaur,180,20/10/15/10,"Grass (9), Pink (11)","[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 51, 20, 10, 15, 10, 0], [10, 73, 38, 24, 33, 24, 1390], [20, 100, 54, 34, 49, 34, 40990], [30, 130, 64, 44, 59, 44, 230000], [40, 140, 64, 44, 59, 44, 500000], [50, 150, 65, 45, 60, 45, 800000], [60, 160, 75, 54, 70, 54, 1100000], [70, 170, 85, 54, 80, 54, 1400000], [80, 181, 96, 54, 91, 54, 1700000], [90, 202, 117, 54, 112, 54, 2000000], [100, 232, 147, 54, 142, 54, 2300000]]",[-/-],Evolves From: Ivysaur at L32---,Normal:   My flower's in bloom! Let me handle things!---50% HP:   My HP is down to half.---25% HP:   I can't keep up...---Lvl Up:   All right! Leveled up!---
3,id_4,#004,Charmander,Hitokageヒトカゲ,fire,,False,False,Lizard Pokémon,8.5 kg,18.7 lbs,0.6 m,2'00,Blaze,004 --> Lv. 16 --> 005 --> Lv. 36 --> 006,*,Mt. Cleft,11.7 %,"Starter / Partner Pokémon, Fiery Field 5F-8F",R-140,Jungle Ruins,Fire,Burn,Fire,Normal,Huge Storage 5 Mr. Who's Den,Charmander,Lv. 16,Charmeleon,Lv. 36,Charizard,24,3/0/3/0,Red (7),"[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 18, 3, 0, 3, 0, 0], [10, 43, 19, 17, 20, 17, 2250], [20, 67, 35, 30, 35, 31, 49490], [30, 87, 51, 43, 51, 44, 112290], [40, 104, 63, 53, 66, 54, 362290], [50, 114, 76, 63, 80, 64, 662290], [60, 124, 86, 72, 90, 73, 1202290], [70, 134, 91, 72, 95, 73, 1802290], [80, 144, 96, 72, 100, 73, 2402290], [90, 154, 101, 72, 105, 73, 3002290], [100, 164, 106, 72, 110, 73, 3602290]]",[L 1/L 1],Recruit at:   L30 in Fiery Field (Floors  5- 8)---Charmander is one of the 16 possible Starter Pokemon and one of the 10---possible starting Partners.---,"Normal:   My flame's small, but I'll do my best!---50% HP:   My health is down to half. The flame is getting small, too.---25% HP:   My flame is about to go out...---Lvl Up:   I leveled up. The flame on my tail grew bigger, too.---Partner Quotes---Normal:   The fire on my tail's blazing! Let's go for it, &lt;name&gt;!---50% HP:   It's getting tougher...---25% HP:   My fire's about to go out... &lt;name&gt;, help...---Lvl Up:   Yay! I leveled up!---"
4,id_5,#005,Charmeleon,Lizardoリザード,fire,,False,False,Flame Pokémon,19.0 kg,41.9 lbs,1.1 m,3'07,Blaze,004 --> Lv. 16 --> 005 --> Lv. 36 --> 006,*,Mt. Cleft,-19 %,Fiery Field 26F-29F,R-141,Jungle Ruins (requires Water x 3),Fire,Burn x 2,Fire,Rare,Endless Level 1 Endless Level 4 Forever Level 50 Mr. Who's Den,Charmander,Lv. 16,Charmeleon,Lv. 36,Charizard,57,21/9/19/8,Red (7),"[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 58, 21, 9, 19, 8, 0], [10, 83, 37, 26, 36, 25, 7000], [20, 107, 53, 39, 51, 39, 100000], [30, 127, 69, 52, 67, 52, 200000], [40, 144, 81, 62, 82, 62, 450000], [50, 154, 94, 72, 96, 72, 750000], [60, 164, 104, 81, 106, 81, 1140000], [70, 174, 109, 81, 111, 81, 1540000], [80, 184, 114, 81, 116, 81, 1940000], [90, 195, 119, 81, 121, 81, 2340000], [100, 215, 124, 81, 126, 81, 2740000]]",[L90/L50],Evolves From: Charmander at L16---Recruit at:   L30 in Fiery Field (Floors 26-29)---,"Normal:   I'll KO foes with my burning tail!---50% HP:   My health is down to half. My flame is weakening, too.---25% HP:   The flame on my tail is about to go out...---Lvl Up:   Yes! Leveled up!---"
5,id_6,#006,Charizard,Lizardonリザードン,fire,flying,False,False,Flame Pokémon,90.5 kg,199.5 lbs,1.7 m,5'07,Blaze,004 --> Lv. 16 --> 005 --> Lv. 36 --> 006,*,Mt. Cleft,-,Evolve Charmeleon,R-142,Only During Missions,Fire,Burn x 3,Fire,Rare,Endless Level 23 Pair Trozei Forever Level 72 Mr. Who's Den,Charmander,Lv. 16,Charmeleon,Lv. 36,Charizard,200,12/9/8/10,"Red (10), Sky (10)","[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 58, 12, 9, 8, 10, 0], [10, 83, 28, 26, 25, 27, 5000], [20, 107, 44, 39, 40, 41, 60000], [30, 127, 60, 52, 56, 54, 160000], [40, 144, 72, 62, 71, 64, 410000], [50, 154, 85, 72, 85, 74, 710000], [60, 164, 95, 81, 95, 83, 1010000], [70, 174, 100, 81, 100, 83, 1310000], [80, 184, 105, 81, 105, 83, 1610000], [90, 196, 110, 81, 110, 83, 1910000], [100, 226, 115, 81, 115, 83, 2210000]]",[-/-],Evolves From: Charmeleon at L36---,Normal:   Leave it to me! I'll raze everything!---50% HP:   My body's cooling down. My health is down to half.---25% HP:   I can't... There's no power left in my flame...---Lvl Up:   I leveled up! My flame is burning even hotter now!---
6,id_7,#007,Squirtle,Zenigameゼニガメ,water,,False,False,Tiny Turtle Pokémon,9.0 kg,19.8 lbs,0.5 m,1'08,Torrent,007 --> Lv. 16 --> 008 --> Lv. 36 --> 009,*,Turtleshell Pond,11.7 %,"Starter / Partner Pokémon, Waterfall Pond 8F-12F",R-076,Underground Waterways (require Cross),Water,Water,Water,Normal,Huge Storage 4 Endless Level 15 Trozei Battle Mr. Who's Den,Squirtle,Lv. 16,Wartortle,Lv. 36,Blastoise,27,3/3/2/3,Blue (7),"[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 20, 3, 3, 2, 3, 0], [10, 43, 17, 17, 16, 17, 1400], [20, 68, 34, 34, 33, 34, 43080], [30, 92, 50, 47, 49, 48, 117480], [40, 106, 60, 57, 59, 58, 333480], [50, 116, 70, 66, 69, 67, 633480], [60, 126, 80, 66, 79, 67, 1173480], [70, 136, 83, 66, 89, 67, 1773480], [80, 146, 90, 66, 92, 67, 2373480], [90, 156, 93, 66, 99, 67, 2973480], [100, 166, 100, 66, 109, 67, 3573480]]",[L 1/L 1],Recruit at:   L26 in Waterfall Pond (Floors  8-12)---Squirtle is one of the 16 possible Starter Pokemon and one of the 10---possible starting Partners.---,"Normal:   I'll knock them out with my Water Gun!---50% HP:   I'm down to half HP...---25% HP:   I might not make it... I want to rest inside my shell...---Lvl Up:   Yes! Leveled up!---Partner Quotes---Normal:   Let's give it our best, &lt;name&gt;!---50% HP:   I'm starting to feel it...---25% HP:   Graah... I'm almost done... Help me, &lt;name&gt;...---Lvl Up:   Yeah! I leveled!---"
7,id_8,#008,Wartortle,Kameilカメール,water,,False,False,Turtle Pokémon,22.5 kg,49.6 lbs,1.0 m,3'03,Torrent,007 --> Lv. 16 --> 008 --> Lv. 36 --> 009,*,Turtleshell Pond,-19 %,Northwind Field 27F-29F,R-077,Lila Forest (require Break x 2),Water,Water x2,Water,Rare,Endless Level 56 Endless Level 65 Forever Level 6 Mr. Who's Den,Squirtle,Lv. 16,Wartortle,Lv. 36,Blastoise,66,15/17/17/14,Blue (7),"[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 46, 15, 17, 17, 14, 0], [10, 73, 29, 31, 31, 28, 8000], [20, 103, 46, 48, 48, 45, 90000], [30, 133, 62, 61, 64, 59, 190000], [40, 155, 72, 71, 74, 69, 406000], [50, 165, 82, 80, 84, 78, 706000], [60, 175, 92, 80, 94, 78, 1106000], [70, 185, 95, 80, 104, 78, 1506000], [80, 195, 102, 80, 107, 78, 1906000], [90, 205, 105, 80, 114, 78, 2306000], [100, 215, 112, 80, 124, 78, 2706000]]",[L90/L50],Evolves From: Squirtle at L16---Recruit at:   L30 in Northwind Field (Floors 27-29)---,Normal:   Did you know? I live a long time.---50% HP:   I'm down to half HP...---25% HP:   I can't keep going...---Lvl Up:   Yes! Leveled up! Let me handle things!---
8,id_9,#009,Blastoise,Kamexカメックス,water,,False,False,Shellfish Pokémon,85.5 kg,188.5 lbs,1.6 m,5'03,Torrent,007 --> Lv. 16 --> 008 --> Lv. 36 --> 009,*,Turtleshell Pond,-33.9 %,Western Cave 89F-98F,R-078,Fall City (seaport underground chamber),Water,Water x 3,Water,Rare,Endless Level 73 Pair Trozei Forever Level 23 Mr. Who's Den,Squirtle,Lv. 16,Wartortle,Lv. 36,Blastoise,250,16/19/18/18,Blue (7),"[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 53, 16, 19, 18, 18, 0], [10, 80, 30, 33, 32, 32, 8000], [20, 110, 47, 50, 49, 49, 90000], [30, 139, 63, 63, 65, 63, 190000], [40, 155, 73, 73, 75, 73, 366000], [50, 165, 83, 82, 85, 82, 666000], [60, 175, 93, 82, 95, 82, 966000], [70, 185, 96, 82, 105, 82, 1266000], [80, 195, 103, 82, 108, 82, 1566000], [90, 205, 106, 82, 115, 82, 1866000], [100, 215, 113, 82, 125, 82, 2166000]]",[-/L90],Evolves From: Wartortle at L36---Recruit at:   L38 in Western Cave (Floors 89-98)---,Normal:   This thick shell isn't just for show!---50% HP:   Not good. My HP's down to half...---25% HP:   I'm done for... My shell is cracking...---Lvl Up:   Leveled up! I think my shell thickened!---
9,id_10,#010,Caterpie,Caterpieキャタピー,bug,,False,False,Worm Pokémon,2.9 kg,6.4 lbs,0.3 m,1'00,Shield Dust,010 --> Lv. 7 --> 011 --> Lv. 10 --> 012,*,Mist-Rise Forest,10.2 %,Wish Cave 2F-4F,R---,Caterpie is not in Pokémon Ranger,-,-,-,Normal,Phobos Train Endless Level 9 Trozei Battle Mr. Who's Den,Caterpie,Lv. 7,Metapod,Lv. 10,Butterfree,9,6/7/6/7,Green (7),"[['Lvl', 'HP', 'Att', 'Def', 'SpA', 'SpD', 'Exp Req'], [1, 12, 6, 7, 6, 7, 0], [10, 17, 10, 10, 9, 10, 8300], [20, 22, 15, 14, 12, 13, 25300], [30, 27, 20, 17, 15, 17, 110300], [40, 32, 25, 20, 19, 20, 210300], [50, 37, 30, 24, 22, 23, 310300], [60, 42, 35, 27, 26, 26, 600300], [70, 52, 36, 27, 35, 26, 1200300], [80, 62, 45, 27, 36, 26, 1800300], [90, 72, 46, 27, 46, 26, 2400300], [100, 82, 56, 27, 56, 26, 3000300]]",[L 1/L 1],Recruit at:   L 1 in Wish Cave (Floors  2- 4)---This Pokemon is only fought in Lv1 Dungeons.---,Normal:   I'll eat lots and grow big.---50% HP:   This is so hard... My health is down to half.---25% HP:   I can't keep up... I can't spit silk anymore...---Lvl Up:   I leveled up! Happy!---
